CNS5,GJ,Comp,NComp,GaiaDR3,HIP,RAJ2000,DEJ2000,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Ksmag,W1mag,SimbadName
2232,"11309 ","    ",,685103912857072640,,135.09564332221,21.83206259693,157.34,0.06,-514.94,-592.25,8.6,,13.413064,11.951592,8.437,8.215," CNS5 2232"
2383,"11388 ","    ",,,,144.3984776,29.5242396,163.4,1.8,955.2,-1319.8,,,,,15.267,14.088," CNS5 2383"
2093,"1111  ","    ",,703790044252850688,,127.45009240231,26.77328596508,279.26,0.08,-1113.69,-612.19,53.84,5.53,12.167455,10.705456,7.26,6.946," CNS5 2093"
2079,"11222 ","    ",,,,126.2807258,28.096749,152.6,2.0,-66.7,-235.8,,,,,,18.444," CNS5 2079"
2696,"411   ","    ",,762815470562110464,54035,165.83095967578,35.94865303266,392.78,0.04,-580.06,-4776.59,,,6.551172,5.475513,3.501,," CNS5 2696"
2703,"412   ","B   ",2,778947608243864320,,166.35208967877,43.52590762036,203.84,0.06,-4339.85,960.7,,,12.257253,10.854758,7.839,," CNS5 2703"
2702,"412   ","A   ",2,778947814402602752,54211,166.34205974428,43.53094856108,203.92,0.04,-4406.47,938.53,,,7.912665,6.877863,,4.641," CNS5 2702"
2501,"380   ","    ",,823773494718931968,49908,152.83292895823,49.4519888971,205.31,0.03,-1363.29,-505.77,-26.49,0.13,5.9611735,5.066091,2.962,2.232," CNS5 2501"
1713,"251   ","    ",,939072613334579328,33226,103.70012922714,33.26640801817,179.11,0.03,-726.67,-398.1,,,8.863551,7.69554,5.275,5.119," CNS5 1713"
1784,"268   ","    ",,946632924007399936,34603,107.50514340449,38.52526941965,165.21,0.07,-439.42,-944.79,,,9.934659,8.641891,5.846,5.667," CNS5 1784"
1499,"3378  ","    ",,999747822484300800,,90.29510135819,59.59306278611,129.35,0.03,-104.94,-928.63,,,10.417205,9.196526,6.639,," CNS5 1499"
2293,"338   ","A   ",2,1022456139210632064,45343,138.58356161522,52.68408016691,157.92,0.02,-1545.79,-569.05,10.77,0.14,6.976026,6.046104,3.988,," CNS5 2293"
2295,"338   ","B   ",2,1022456104850892928,120005,138.59131179667,52.68342944184,157.92,0.02,-1573.04,-659.91,11.98,0.18,7.054455,6.112956,4.136,," CNS5 2295"
2891,"445   ","    ",,1129149723913123456,57544,176.93940798148,78.69329745305,190.36,0.02,748.42,480.8,,,9.551337,8.347287,5.954,5.816," CNS5 2891"
3674,"566   ","A   ",2,1237090738916392704,72659,222.84805147385,19.10026964007,148.07,0.15,127.47,-40.57,1.49,0.17,4.4804826,3.944436,,," CNS5 3674"
3673,"566   ","B   ",2,1237090738916392832,,222.84664266523,19.10110410795,148.21,0.06,133.38,-182.06,2.29,0.18,6.4300914,5.615121,,," CNS5 3673"
3722,"12162 ","    ",,1267906854386665088,,225.83214225859,25.42464448982,155.78,0.73,87.41,557.78,,,20.300144,18.523335,13.963,13.436," CNS5 3722"
4198,"3991  ","    ",,1355264565043431040,83945,257.38347211917,43.68010580899,131.64,0.48,332.03,-274.5,,,10.453175,9.206718,6.485,6.32," CNS5 4198"
4217,"661   ","    ",,,84140,258.03175316944,45.66984263223,167.29,5.02,348.59,-1624.84,,,,,,," CNS5 4217"
4022,"625   ","    ",,1428427236986209024,80459,246.35588833282,54.3033386656,154.38,0.02,432.23,-171.65,,,9.139769,8.049889,5.833,5.707," CNS5 4022"
3482,"12023 ","    ",,,,211.3263496,55.5726027,158.2,2.6,-2334.8,226.8,,,,,,18.765," CNS5 3482"
4343,"687   ","    ",,1637645127018395776,86162,264.1040525732,68.33349763759,219.82,0.02,-320.67,-1269.89,,,8.02864,6.867062,4.548,4.398," CNS5 4343"
4408,"1221  ","    ",,1638979384378696704,,267.01612290515,70.88157381434,161.02,0.01,-1266.39,1108.8,,,13.778201,13.176234,12.507,12.403," CNS5 4408"
3734,"12169 ","    ",,1695191332232990720,,226.70263614662,70.46161913358,193.94,0.61,-1194.18,1042.19,,,20.225025,18.33195,13.826,13.403," CNS5 3734"
5175,"13033 ","    ",,,,314.1203498,14.9982476,140.8,2.0,825.8,528.8,,,,,,16.48," CNS5 5175"
5297,"829   ","    ",,1784473016438653056,106106,322.40807988217,17.64497780267,147.54,0.03,1007.04,378.4,,,9.108492,7.917384,5.453,5.298," CNS5 5297"
5218,"820   ","B   ",2,1872046574983497216,104217,316.75366275256,38.75607277206,286.01,0.03,4105.98,3155.94,-64.43,0.13,5.4506445,4.556912,2.544,," CNS5 5218"
5217,"820   ","A   ",2,1872046609345556480,104214,316.748479294,38.7638624465,285.99,0.07,4164.21,3249.61,-65.94,0.14,4.766713,3.977203,2.248,," CNS5 5217"
5474,"13202 ","    ",,,,332.2739704,27.1954646,161.7,2.0,1202.2,-1365.4,,,,,,18.831," CNS5 5474"
5844,"905   ","    ",,1926461164913660160,,355.48001525816,44.17037570075,316.54,0.05,112.53,-1591.65,-77.76,0.0,10.379277,9.017014,5.929,5.694," CNS5 5844"
5620,"873   ","    ",,1934263333784036736,112460,341.70282545224,44.33195332332,198.0,0.02,-706.22,-458.92,,,9.005235,7.791977,5.299,5.202," CNS5 5620"
5362,"13136 ","    ",,1952802469918554368,,326.59288194186,38.21751708114,141.94,0.02,161.45,-119.74,,,10.830858,9.60365,7.198,6.947," CNS5 5362"
5550,"860   ","AB  ",2,,110893,337.00174035238,57.69701975999,249.94,1.87,-865.47,-461.53,,,,,,," CNS5 5550"
5718,"892   ","    ",,2009481748875806976,114622,348.33773395483,57.16966644274,152.86,0.06,2074.41,294.45,-18.64,0.19,5.2318964,4.550234,3.261,," CNS5 5718"
4832,"12834 ","    ",,2019802555283940608,,292.1717532597,23.93500479838,146.41,1.15,-247.0,240.43,,,20.663187,18.5078,13.609,13.574," CNS5 4832"
4953,"12908 ","    ",,,,300.2091405,36.4972582,133.4,2.2,6.1,372.8,,,,,16.798,15.08," CNS5 4953"
4921,"1245  ","    ",,2079073928612821760,,298.48192590176,44.41290615923,214.6,0.06,349.36,-480.32,5.43,0.1,11.908311,10.509522,7.387,7.117," CNS5 4921"
4601,"12692 ","    ",,2091177593123254016,,278.90744884954,32.9947871587,175.86,0.05,-72.65,-755.15,8.4,2.0,14.850962,13.305739,9.171,8.837," CNS5 4601"
4607,"721   ","    ",,,91262,279.23410824812,38.78299326196,130.23,0.36,200.94,286.23,,,,,,," CNS5 4607"
4634,"725   ","B   ",2,2154880616774131712,91772,280.68308624583,59.63514545482,283.86,0.03,-1400.26,1862.53,,,8.524704,7.334221,,," CNS5 4634"
4633,"725   ","A   ",2,2154880616774131840,91768,280.68307083523,59.63835790775,283.86,0.02,-1311.68,1792.32,,,7.854393,6.705933,4.432,," CNS5 4633"
4461,"12603 ","    ",,2161121135533953536,,270.57119282073,64.26058361909,128.33,0.04,196.39,-383.79,,,11.758081,10.448387,7.652,7.449," CNS5 4461"
5164,"809   ","    ",,2195886971653527168,103096,313.3324563031,62.1509577015,142.08,0.02,0.26,-773.1,-17.59,0.16,7.756715,6.747296,4.618,4.518," CNS5 5164"
4531,"4053  ","    ",,2257597439718033536,,274.74325647947,66.19061665488,130.87,0.03,434.81,-442.79,,,11.911708,10.623832,7.948,7.707," CNS5 4531"
4846,"764   ","    ",,2261614264931057664,96100,293.09759805108,69.65345106255,173.49,0.09,597.38,-1738.29,26.58,0.16,4.449041,3.865173,2.9,," CNS5 4846"
19,"1     ","    ",,2306965202564744064,439,1.38328415235,-37.36774402806,230.12,0.04,5633.44,-2334.72,25.29,0.15,7.6824937,6.61627,4.523,4.403," CNS5   19"
121,"2005  ","ABC ",3,2322561156529549440,,6.18360970657,-27.13725776002,129.32,0.16,-92.74,695.96,-35.1,3.0,13.158741,11.586876,8.241,7.811," CNS5  121"
334,"54.1  ","    ",,2358524597030794112,5643,18.13325425371,-16.99615487248,269.11,0.04,1205.07,637.55,,,10.436525,9.13462,6.42,6.164," CNS5  334"
69,"1005  ","    ",,,1242,3.86527706007,-16.13230908599,200.53,9.41,731.83,-607.73,,,,,,," CNS5   69"
28,"1002  ","    ",,2441630500517079808,,1.67635042594,-7.54647532526,206.37,0.06,-811.57,-1893.25,,,11.773832,10.397489,7.439,," CNS5   28"
448,"71.0  ","    ",,2452378776434477184,8102,26.00905505716,-15.93368020069,273.96,0.17,-1721.05,854.16,,,3.3003998,2.748299,1.794,-0.55," CNS5  448"
233,"33    ","    ",,2552925644460225152,3765,12.09910707516,5.27553944692,134.49,0.07,755.89,-1141.72,-10.41,0.15,5.467689,4.828774,3.683,," CNS5  233"
240,"35    ","    ",,2552928187080872832,3829,12.29674025046,5.37655660843,231.81,0.02,1231.4,-2711.88,,,12.299163,11.933642,11.498,11.41," CNS5  240"
405,"10218 ","    ",,2572901021957789568,,24.24124978792,9.56307045476,163.45,0.46,1238.24,-16.16,11.5,0.4,19.486692,17.640982,12.562,11.941," CNS5  405"
5522,"4274  ","    ",,2595284016771502080,,335.7805928443,-17.61050757069,138.25,0.06,308.71,-718.39,,,11.550707,10.227819,7.319,7.013," CNS5 5522"
5586,"866   ","ABC ",3,,,339.650693945,-15.28964705186,293.6,0.9,2314.8,2295.3,,,,,,," CNS5 5586"
5644,"876   ","    ",,2603090003484152064,113020,343.32411100184,-14.26668939352,214.09,0.04,957.71,-673.6,,,8.875059,7.643721,5.01,4.863," CNS5 5644"
5811,"1286  ","    ",,2640434056928150400,,353.79706943772,-2.39279939437,139.36,0.06,781.42,-841.52,,,12.623748,11.245876,8.183,," CNS5 5811"
